LC,166,POET AND PEASANT,"SUPPE, FRANZ von","MEYRELLES, M.C./SAFRANEK, V.F.",1911,Concert Band,
M,5,INVERCARGILL MARCH,"LITHGOW, ALEX F.","LAURENDEAU, L.P.",1913,,
M,6,COLONEL BOGEY MARCH,"ALFORD, KENNETH J.",,1914,,SCORE ONLY IN FILE CABINET
EN,79,SUNDAY ,MILLER,LAURICELLA,1926,BRASS QUINTET,MISSING SCORE
LC,103,JALOUSIE (JEALOUSY),"GADE, JACOB","KRANCE, JOHN",1926,Concert Band,
EN,117,BLUE SKIES,"BERLIN, IRVING","JARVIS, JEFF",1927,BRASS QUINTET,MISSING SCORE
SB,348,JUST FOOLIN,"NESTICO, SAMMY",,1928,JAZZ ENSEMBLE,
M,21,UNDER THE BIG TOP MARCH,"STORM, CHAS W.",,1930,,
LC,324,BIX BEIDERBECKE IN CONCERT,"BEIDERBECKE, BIX","SCOTT, WAYNE",1931,Concert Band,
SB,37,I'M GETTIN' SENTIMENTAL OVER YOU,"WASHINGTON, NED & BASSMAN, GEORGE","WOLPE, DAVE",1932,JAZZ ENSEMBLE,MISSING SCORE
EN,69,DER FREYSHUTZ,"WEBER, C.M. VON","HARRIS, A.E.",1933,HORN QUARTET,
EN,85,GAVOTTE IN F MAJOR,"BEETHOVEN, LUDWIG VAN","BUERIS, JOHN DE",1933,WOODWIND QUINTET,
MB,20,PRACTICE DUETS,"AMSDEN, ARTHUR",,1936,TREBLE AND BASS CLEF DUETS,
EN,30,ALLA SARABANDA,"GRIMM, C. HUGO",,1937,CLARINET AND BASSOON,
EN,113,A FOGGY DAY/NICE WORK IF YOU CAN GET IT,"GERSHIWN, GEORGE","HENDERSON, LUTHER",1937,BRASS QUINTET,
M,2,CHICAGO TRIBUNE MARCH,"CHAMBERS, W.P.","ROBERTS, CHARLES J.",1938,,
M,11,IMPERIAL,"KING, K.L.",,1939,,
SB,36,IMAGINATION,"BURKE, JOHNNY","MANTOOTH, FRANK",1939,JAZZ ENSEMBLE,MISSING SCORE
EN,74,TANNHAUSER,"WAGNER, RICHARD","POTTAG, MAX P.",1939,HORN QUARTET,
EN,93,SCARAMOUCHE,"MILHAUD, DARIUS","STEWART, DON",1939,A-SAX SOLO W/ WIND QUINTET,
